data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,178080864,182787848,3,
2022,178080866,182787850,18,
2022,178080866,182787851,18,
2022,178080866,182787852,18,
2022,178080874,182787859,18,
2022,178080875,182787860,3,
2022,178138453,182844176,18,
2022,178138453,182844177,18,
2022,178138453,182844178,18,
2022,178138453,182844179,18,
2022,178080903,182787887,3,
2022,178084639,182791669,3,
2022,178080703,182787666,18,
2022,178080908,182787895,3,
2022,178081279,182788252,18,
2022,178081281,182788256,18,
2022,178081306,182788285,3,
2022,178081309,182788287,26,
2022,178080734,182787700,18,
2022,178081312,182788290,3,
2022,178081313,182788291,18,
2022,178080736,182787701,18,
2022,178080736,182787702,18,
2022,178080736,182787703,18,
2022,178081316,182788294,18,
2022,178081316,182788295,18,
2022,178081318,182788298,18,
2022,178081319,182788299,26,
2022,178084647,182791677,18,
2022,178081322,182788302,18,
2022,178080834,182787820,3,
2022,178080835,182787821,18,
2022,178080839,182787824,26,
2022,178080750,182787716,18,
2022,178080750,182787717,18,
2022,178080750,182787718,18,
2022,178080841,182787826,3,
2022,178081058,182788034,18,
2022,178081058,182788035,18,
2022,178081058,182788036,18,
2022,178080843,182787828,18,
2022,178080845,182787832,18,
2022,178080876,182787861,18,
2022,178081060,182788038,18,
2022,178081060,182788039,18,
2022,178080882,182787867,18,
2022,178080882,182787868,18,
2022,178080884,182787870,18,
2022,178080891,182787876,18,
2022,178080896,182787881,18,
2022,178081094,182788072,18,
2022,178080897,182787882,18,
2022,178080898,182787882,18,
2022,178397815,183101817,18,
2022,178081238,182788213,3,
2022,178081097,182788075,18,
2022,178081242,182788216,18,
2022,178081103,182788081,3,
2022,178081246,182788219,26,
2022,178081248,182788221,26,
2022,178081252,182788225,3,
2022,182916477,187566079,3,
2022,178081107,182788085,18,
2022,182916460,187566062,18,
2022,178081254,182788227,18,
2022,182916481,187566083,1,
2022,182916481,187566084,1,
2022,182916482,187566083,24,
2022,182916482,187566084,24,
2022,182916483,187566083,24,
2022,182916483,187566084,24,
2022,178195843,182902391,26,
2022,182916484,187566083,24,
2022,182916484,187566084,24,
2022,182916461,187566063,26,
2022,178081282,182788257,18,
2022,182916489,187566088,26,
2022,178081290,182788267,18,
2022,183660752,188301172,3,
2022,182916494,187566091,18,
2022,182916494,187566092,18,
2022,182916462,187566064,17,
2022,178081291,182788268,18,
2022,187218341,191806998,24,
2022,187218341,191806999,24,
2022,178081294,182788271,3,
2022,182916498,187566097,11,
2022,178081297,182788276,18,
2022,182891426,187540295,9,
2022,178081113,182788092,18,
2022,183135538,187783458,24,
2022,183135538,187783459,24,
2022,178081631,182788613,3,
2022,182916463,187566065,21,
2022,178081635,182788616,18,
2022,168475302,173291675,18,
2022,168475302,173291676,18,
2022,168475302,173291677,18,
2022,182916502,187566100,17,
2022,178081636,182788617,18,
2022,182916464,187566066,1,
2022,178081637,182788618,18,
2022,168475430,173291815,18,
2022,168475430,173291816,18,
2022,168475430,173291817,18,
2022,178081639,182788620,18,
2022,182916562,187566156,17,
2022,178081641,182788622,18,
2022,182916550,187566143,17,
2022,178081641,182788623,18,
2022,178139621,182845356,18,
2022,178081642,182788624,18,
2022,178081642,182788625,18,
2022,178081642,182788626,18,
2022,178081642,182788627,18,
2022,178081644,182788630,18,
2022,178084657,182791694,18,
2022,178081648,182788634,18,
2022,178081649,182788635,18,
2022,178081650,182788636,18,
2022,178081657,182788643,18,
2022,178081659,182788645,18,
2022,178081662,182788648,18,
2022,178081664,182788650,3,
2022,178081665,182788651,3,
2022,178081946,182788950,18,
2022,178081949,182788953,18,
2022,178081474,182788452,18,
2022,178081474,182788453,18,
2022,178081474,182788454,18,
2022,178081956,182788961,3,
2022,178081957,182788962,18,
2022,178084881,182791941,3,
2022,178081961,182788966,18,
2022,178081962,182788967,18,
2022,178081964,182788969,18,
2022,178081964,182788970,18,
2022,178081965,182788969,18,
2022,178081965,182788970,18,
2022,178081966,182788969,18,
2022,178081966,182788970,18,
2022,178081968,182788972,18,
2022,178081483,182788463,18,
2022,178081975,182788979,18,
2022,178081977,182788981,18,
2022,178081979,182788983,18,
2022,178081980,182788984,18,
2022,178081985,182788990,18,
2022,178081986,182788991,18,
2022,178081987,182788992,26,
2022,178081988,182788993,26,
2022,178081994,182789000,18,
2022,178081995,182789001,26,
2022,178139629,182845367,18,
2022,178082000,182789006,26,
2022,178082003,182789009,18,
2022,178082004,182789009,18,
2022,178081491,182788471,3,
2022,178251112,182958280,18,
2022,178082257,182789260,18,
2022,178082262,182789265,18,
2022,178084884,182791944,26,
2022,178082264,182789266,3,
2022,178082267,182789268,18,
2022,178082267,182789269,18,
2022,178397973,183101973,18,
2022,178397974,183101973,18,
2022,178089114,182796284,18,
2022,178083167,182790184,18,
2022,178084885,182791945,26,
2022,178083169,182790186,18,
2022,178083169,182790187,18,
2022,178084887,182791947,26,
2022,183134377,187782288,18,
2022,178083172,182790190,18,
2022,178083174,182790192,18,
2022,178081813,182788805,18,
2022,178083186,182790203,18,
2022,178084891,182791951,18,
2022,178083486,182790520,18,
2022,182916563,187566157,21,
2022,178083487,182790521,26,
2022,178081819,182788812,18,
2022,178081820,182788812,18,
